comment,curiet,debyet,element,gapene,kaizero_value,moment_value,name,neelt,nhc2zero_value,oz,pcohere_value,phc2zero_value,ppenet_value,rh300,shape,t1_value,t2_value,t3_value,tcn_value,tcsus_value,tcwidth_value,critical_temp_K,upper_critical_field_0K_T,gamma_sommerfeld_mJmolK2,resistivity_normal_uOhmcm,resistivity_roomtemp_uOhmcm,penetration_depth_nm,coherence_length_nm,dhc2dt_TK,dtcdp_KGPa,density_gcm3,lower_critical_field_0K_T,thermopower_300K_uVK,energy_gap_meV,data_quality_flag
,,,Sm1Sr2Ta0.8Sn0.2O8-z,,,,"SmSr2(Ta,Sn)Cu2O8-z",,,,,,,,,,,,,30.0,,30.0,,,,,,,,,,,,,
,,,Bi2Sr2Ca1Cu2OX,,,,Bi2Sr2CaCu2O8,,,,,,,,shape_03,,89.0,,,,,89.0,,,,,,,,,,,,,
,,,Y1Ba2Cu2.94Zn0.06O6.7,,,,"YBa2(Cu,Zn)3O7-d",,,6.7,,,,,shape_05,23.0,,,,,,23.0,,,,650.0,,,,,,,,,
,,,Bi1.95Sr1.25La0.8Cu1O4,,,,"Bi2(Sr,La)2CuO4",,,,,,,,,,19.0,,,,,19.0,,,,,,,,,,,,,
C-content (estimated from lat-a) = 0.19692,,,Mg1B1.4C0.6,,,,"Mg(B,C)2",,,,,,,,,,19.45,,,,,19.45,,,,,,,,,,,,,
"optimally doped, H//c-axis",,,Hg1Ba2Ca2Cu3O8+Z,,,,HgBa2Ca2Cu3O8,,,,,,,,shape_03,,,,,130.0,,130.0,,,,,,,,,,,,,
,,,Nb2.49V0.51Au1,,,,,,,,,,,,,,4.6,,,,,4.6,,,,,,,,,,,,,
,,320.0,Tm1Ni2B2C1,,,,TmNi2B2C,1.5,,,,,,,,,10.2,,,,,10.2,,35.0,,,,,,,,,,,
,,,La1.78Sr0.22Cu0.97Ru0.03O4,,,,"(La,Sr)2(Cu,Ru)O4",,,,,,,,,,15.6,,,,,15.6,,,,,,,,,,,,,
p-induced s/c. P<crit> = 4.5 GPa. Tc(max) = 0.6 K at 13 GPa.,,,Lu1,,,,Lu,,,,,,,,,,0.6,,0.0,,,0.6,,,,,,,,,,,,,
,,,Y0.82Pr0.1Ca0.08Ba2Cu3O7-z,,,,"(Y,Pr,Ca)Ba2Cu3O7",,,,,,,,shape_01,,83.4,,,,,83.4,,,,,,,,,,,,,
apical site = BrCl.,,,Ca1.7Na0.3Cu1Br1Cl1O2,,,,"(Ca,Na)2CuO2BrCl",,,,,,,,shape_01,,23.5,,,,,23.5,,,,,,,,,,,,,
,,,B1Sr2Ca4Cu5O13,,,,BSr2Ca4Cu513,,,,,,,,,,,,,85.0,,85.0,,,,,,,,,,,,,
,,,Hf1V2H0.4,,,,HfV2Hx,,,,,,,,,,8.42,,,,,8.42,,,,,,,,,,,,,
ANN sample. hole = 0.34,,,Bi0.5Pb0.25S0.25Sr2Ca0.7Nd0.3Cu2O6.97,,,,"(Bi,Pb,S)Sr2(Ca,Nd)Cu2Oz",,,6.97,,,,,,,,,,75.0,,75.0,,,,,,,,,,,,,
,,,Pb0.35Sn0.53In0.12Te1,,,,"(Pb,Sn,In)Te",,,,,,,,shape_01,3.5,,,,,,3.5,,,,,,,,,,,,,
films by vacuum evaporation,,,O1W3,,,,O1W3,,,,,,,,,,3.35,,,,,3.35,,,,,,,,,,,,,
,,,Ho0.75Y0.25Ni2B2C1,,,,"(Ho,Y)Ni2B2C",3.65,,,,,,,shape_01,,10.2,,,,,10.2,,,,,,,,,,,,,
slightly high Ag conc. by EDS. Anomaly in R(T) at 180 K due to CDW. R(T) starts to deviate from normal value at 2.5 K,,,La2Bi3Ag1S6O2,,,,La2O2Bi3AgS6,,,,,,,,shape_01,0.5,,,,,,0.5,,,,,,,,,,,,,
,,,Sm1Fe1As1F0.2O0.8,,,,"Sm(O,F)(Fe,Zn)As",,,,,,,,shape_01,,,,,52.5,,52.5,,,,,,,,,,,,,
"RRR = 10.2  . Anisotropy = 2.09 (onset),  2.06 (off). K-content x from WDS.",,,Ba0.66K0.34Fe2As2,,,,"(Ba,K)Fe2As2",,124.7,,,253.0,,,shape_03,,,,,38.9,,38.9,,,,300.0,,,,,,,,,
whiskers,,,C1Tc1,,,,,,,,,,,,,,3.85,,,,,3.85,,,,,,,,,,,,,
beta-FeSe type,,,Mn0.1Fe0.9Se0.85,,,,"(Mn,Fe)Se0.85",,,,,,,,,,11.0,,,,,11.0,,,,,,,,,,,,,
,,,La1.89Sr0.11Cu1O4,3.48,,,"(La,Sr)2CuO4",,,,,,,,,,10.0,,,,,10.0,,,,,,,,,,,,,
,,,As3Pt2,,,,As3Pt2,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,
,,,Ba1Fe1.8Co0.2As2,,,,"Ba(Fe,Co)2As2",,,,,,,-1.14,shape_03,,,22.0,,,0.6,22.0,,,,,,,,,,,,,
,,,Gd0.9Pr0.95Ce0.15Cu1O4,,,,"(Gd,Pr,Ce)2CuO4",,,,,,,,,,0.001,,,,,0.001,,,,,,,,,,,,,Info: Very Low Tc (<0.1K)
,,,Si2Zr3,,,,Zr3Si2,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,
,,,Er0.75Ca0.1Hf0.15Ba2Cu3O6.796,,,,"(Er,Ca,Hf)Ba2Cu3O7",,,6.796,,,,,shape_01,,73.6,,,,,73.6,,,,,,,,,,,,,
,,,Nb0.991Ta0.009,,,,Nb0.991Ta0.009,,,,,,,,,,8.87,,,,,8.87,,,,,,,,,,,,,
,,,Ce3Ir2Ge2,,,1.92,Ce3Ir2Ge2,7.5,,,,,,,shape_01,,,,2.0,,,,,,,,,,,,,,,,
,,,Y1Sr2Cu2.7Mo0.3O7-d,,,,"(Y,Pr)Sr2(Cu,Mo)3O7",,,,,,,,shape_01,,33.2,,,,,33.2,,,,,,,,,,,,,
,,,Y1Ni1.94Ru0.06B2C1,,,,"Y(Ni,Ru)2B2C",,,,,,,,,,8.7,,,,,8.7,,,,,,,,,,,,,
Single crystal of  BaFe2(As1-xPx)2 has been grown successfully by a Ba2As3/Ba2P3 self-flux.,,,Ba1Fe2As1.22P0.78,,,,BaFe2(As0.39P0.61)2,,,,,,,,shape_03,,,,,,,9.1,,,,,,,,,,,,,
,,,Nd1.85Ce0.15Cu1O4-Y,,,,"(Nd,Ce)2CuO4",,,,,,,,shape_01,24.0,,,,,,24.0,,,,,,,,,,,,,
,,,Ca1Ba1La0.2Nd0.8Cu3O7-Z,,,,"CaBa(La,Nd)Cu3O7",,,,,,,,shape_01,,57.0,,,,,57.0,,,,12.23,,,,,,,,,
"Sr- and Zn-content by ICP. optimal doping: Sr=0.142, Zn=0.0287.  structural transition Td1 = 182 K.",,,La1.85Sr0.15Cu0.971Ni0.029O4,,,,"(La,Sr)2(Cu,Ni)O4",,,,,,,,shape_03,,,,,11.6,9.2,11.6,,,,,,,,,,,,,
not SC down to 1.6 K.,,,Y1Rh1Si1,,,,YRhSi,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,
"nearly single hease,Annealed sample",,,Hg0.8W0.2Sr2.45La0.55Cu2Oz,,,,"(Hg,W)Sr2(Sr,La)Cu2Oz",,,,,,,,,41.0,,91.0,,,,66.0,,,,,,,,,,,,,
,,,Ce0.84Y0.16Ru2,,,,"(Ce,Y)Ru2",,,,,,,,,,4.92,,,,,4.92,,,,,,,,,,,,,
,,,Bi3.875Co0.125S3O4,,,,"(Bi,Co)4O4S3",,,,,,,,shape_01,,,5.93,,4.79,,4.79,,,,,,,,,,,,,
Eu-content by WDS.,,,Sr0.958Eu0.042Fe1.76Co0.24As2,,,,"(Sr,Eu)(Fe,Co)2As2",,,,,,,,shape_03,16.2,,19.0,,13.3,,13.3,,,,,,,,,,,,,
,,,Bi2Sr2Ca0.8Pr0.2Cu2O8,,,,"Bi2Sr2(Ca,Pr)Cu2O8",,,,,,,,,,73.0,,,,,73.0,,,,,,,,,,,,,
,,,La1.78Sr0.22Cu0.99Ni0.01O4,,,,"(La,Sr)2(Cu,Ni)O4",,,,,,,,,,21.3,,,,,21.3,,,,,,,,,,,,,
Annealing at 350 C. TP300= at 290K. ,,,Bi2.1Sr1.15La0.75Cu1O6+Z,,,,"Bi2(Sr,Bi,La)2CuO6",,,,,,,,shape_03,,15.1,,,,,15.1,,,,,,,,,,,16.7,,
,,,Pb1.6V0.4Sr2Ca0.5Y0.5Cu3Oz,,,,"(Pb,V)2Sr2(Ca,Y)Cu3Oz",,,,,,,,shape_01,,,,,,,,,,,93.0,,,,,,,,,
Film thickness = submicron. electroplating with no Ce(+3) ion in electrolyte.,,,Pb7Bi3,,,,Pb7Bi3,,,,,,,,shape_04,,7.8,,,,,7.8,,,,,,,,,,,,,
spin gap = 130 K. spin gap temp T* = 221 K.,,,La1.8Sr0.2Cu1O4,,,,"(La,Sr)2CuO4",,,,,,,,shape_04,,22.3,,,,,22.3,,,,,,,,,,,,,
Debye-T calculated from R(T). e-ph coupling const. = 0.878,,823.3,Mg1B1.92C0.08,,,,"Mg(B,C)2",,,,,,,,,,38.3,,,,,38.3,,,,,,,,,,,,,
[gamma] < 20 mJ/mol.K2,,,Nd1Pd2Al3,,,2.28,NdPd2Al3,7.7,,,,,,,,,,,1.5,,,,,20.0,,,,,,,,,,,
,,,H0.69Nb0.8Pd0.2,,,,"(H,Nb,Pd)",,,,,,,,,,3.56,,,,,3.56,,,,,,,,,,,,,
Ruddlesden-Popper series n=2 structure (95% volume fraction. resistivity monotonically increase as lowering T,,,Ba2K1Bi2O7,,,,Ba2KBi2O7,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,
,,,Y0.6Pr0.4Ba0.4Sr1.6Cu3O7-d,,,,"(Y, Pr)(Ba,Sr)2Cu3O7-d",,,,,,,,shape_02,,50.0,,,,9.0,50.0,,,,,,,,,,,,,
"ANN(290-450C,Ar-flow)",,,Hg1.4Tl0.6Ba2Y1Cu2O7.92,,,,"(Hg,Tl)2Ba2YCu2Oz",,,7.92,,,,,,,,,4.2,,,,,,,,,,,,,,,,
Heavy-fermion SC.,,,U1Ni2Al3,,,,UNi2Al3,5.0,,,,,,,shape_03,,1.1,,,,,1.1,,130.0,,,,,,,,,,,
,,,La0.9Nd0.1Pt1Si1,,,,"(La,Nd)PtSi",,,,,,,,shape_01,,1.42,,,,,1.42,,,,,,,,,,,,,
,,,V1.5Nb1.5Sb1,,,,,,,,,,,,,,7.4,,,,,7.4,,,,,,,,,,,,,
,,,Mo0.52Re0.48,,,,Mo0.52Re0.48,,,,,,,,,,11.1,,,,,11.1,,,,,,,,,,,,,
"In-plane anisotropy of Hc2, C<e> are measured. C<e> depends on H-direction (H//a or H//b)",,,Cu1.5Pb5Bi6Se23,,,,Cu1.5(PbSe)5(Bi2Se3)6,,,,,,,,shape_03,,2.7,,,,,2.7,,,,,,,,,,,,,
,,,Hg1Ba2Cu1O4.025,,,,HgBa2CuOz,,,4.025,,,,,shape_01,,,,,20.0,,20.0,,,,,,,,,,,,,
,,,Lu1Te1,,,,Lu1Te1,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,
,,,Ru0.1Zr0.9,,,,Ru0.1Zr0.9,,,,,,,,,,5.7,,,,,5.7,,,,,,,,,,,,,
,,,Sm1Ba2Cu3O6.709,,,,SmBa2Cu3O7,,,6.709,,,,,,,59.8,,,,,59.8,,,,,,,,,,,,,
,,,In1Sb1Sn1,,,,In1Sb1Sn1,,,,,,,,,,2.5,,,,,2.5,,,,,,,,,,,,,
not SC,659.0,,Fe2Zr1,,,,ZrFe2,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,
monoclinic beta=92.1,,,Sc1Ir3B2,,,,ScIr3B2,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,
,,,Ag0.7Hg0.3,,,,Ag0.7Hg0.3,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,
,,,N0.8Nb1,,,,N0.8Nb1,,,,,,,,,,8.9,,,,,8.9,,,,,,,,,,,,,
T<SDW> = 172 K.,,,Ca1Fe2As2,,,,CaFe2As2,,,,,,,,shape_03,,,,2.0,,,,,,,,,,,,,,,,
The Sample is c-axis-aligned poly crystal.,,,Hg1Ba2CaCu3O8+d,,,,HgBa2Ca2Cu3O8+d,,,,,,,,shape_01,,,,,,,,,,,,,,,,5.8,,,,
P-induced SC. hydrostatic pressure using DAC. Tc increases with P upto 90 GPa (Tc=17K).,,,Y1,,,,Y,,,,,,,,,,17.0,,0.0,,,17.0,,,,,,,,,,,,,
,,,H0.4La1.89Sr0.11Cu0.995Fe0.005O4,,,,"(La,Sr)2CuO4",,,4.0,,,,,shape_01,,13.5,16.0,,,,13.5,,,,,,,,,,,,,
,,397.0,Cs1C8,,,,CsC8,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,
,,,Cu3Sn1,,,,Cu3Sn1,,,,,,,,,,,,1.31,,,,,,,,,,,,,,,,
41%2223,,,Bi1.7Pb0.3Sr2Ca1.99Sm0.01Cu3OZ,,,,"(Bi,Pb)2Sr2(Ca,Sm)2Cu3O10",,,,,,,,,107.0,,115.0,,,8.0,111.0,,,,,,,,,,,,,
"successive reducing , annealing 310C",,,Hg0.4Ce0.6Sr2.5Ca0.4Cu2.1O7-z,,,,"(Hg,Ce)Sr2(Sr,Ca)Cu2O7",,,,,,,,,,,,,51.0,,51.0,,,,,,,,,,,,,
RRR=2.7,,,Mg0.93Al0.07B2,,,,"(Mg,Al)B2",,,,,,,,shape_01,,35.8,,,,,35.8,,,,,,,,,,,,,
,20.0,,Y1Ba2Cu2.7Ni0.3O6.88,,,,"YBa2(Cu,Ni)3O7",,,6.88,,,,,,,73.0,,,,,73.0,,,,,,,,,,,,,
Neel temperature was determined by uSR measurements.,,,La1.67Eu0.2Sr0.18Cu1O4,,,,"(La,Eu,Sr)2CuO4",22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,V2.94Fe0.06Si1,,,,,,,,,,,,,,13.4,,,,,13.4,,,,,,,,,,,,,
,,,Nd2Ba4Cu7O15.38,,,,Nd2Ba4Cu7O14,,,15.38,,,,,shape_01,,35.0,,,,,35.0,,,,,,,,,,,,,
"Ba-content by EDS. Tn nearly equal to T<STR> measured by SUS and RES. Tc defined as sharp drop of R, but not to zero (maybe filamentary SC)",,,Ba1Fe1.988Mo0.012As2,,,,"Ba(Fe,Mo)2As2",,,,,,,,shape_03,,,16.3,,,,16.3,,,,,,,,,,,,,
,,,Gd1.55Sm0.3Ce0.15Cu1O4,,,,"(Gd,Sm,Ce)2CuO4",150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
thermopower = +1.85 uV/K,,,Au0.24Te0.76,,,,TexAu1-x,,,,,,,,,,1.72,,,,,1.72,,,,,,,,,,,,,
hole(outer plane) = 0.148. hole(inner plane) = 0.132 determined from NMR(Knight shift).  Neel-T from T1(NMR). spontaneous moment below Tn* = 30 K.,,,Ba2Ca3Cu4F2O8,,,,Ba2Ca3Cu4O10,80.0,,,,,,,shape_01,,55.0,,,,,55.0,,,,,,,,,,,,,
,,,Ca1Ba1Dy1Cu3O7-Z,,,,CaBaDyCu3O7,,,,,,,,,,65.0,,,,,65.0,,,,95.02,,,,,,,,,
"The lattice parameters show a linear x-dependence in Nb5Ir3-xPtxO, but Tc shows nonlinear x-dependency.",,,Nb5Ir1Pt2O1,,,,Nb5Ir1.0Pt2.0O,,,,,,,,shape_03,,,,,,,7.41,,,,,,,,,,,,,
,,,Bi1.5Pb0.5Sr1.2La0.8Cu1O6.183,,,,"(Bi,Pb)2(Sr,La)2CuO6",,,6.183,,,,,,,,,,,,,,,,,,,,,,,,,
quasihydrostatic pressure upto 8 GPa. Tc shows extraporated (P=0) value from Tc(P).,,,Ni29Zr71,,,,Ni1-xZrx,,,,,,,,,,2.92,,,,,2.92,,,,,,,,0.107,,,,,
,,,Y0.6Ca0.4Ba1.2La0.8Cu3O7.15,,,,"(Y,Ca)(Ba,La)2Cu3Oz",,,7.15,,,,,,,67.0,,,,,67.0,,,,,,,,,,,,,
,,,Pr0.8Sr0.2Fe1As1O1,,,,"(Pr,Sr)FeAsO",,,,,,,,shape_01,,15.0,,,,,15.0,,,,,,,,,,,11.0,,
,,,Pr1Ni2B2C1,,,,PrNi2B2C,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
"penet = 243nm, Tc = 6.10 K from muon-SR.. G-L = 16.0",,,Ba1Pt3.25Au0.75Ge12,4.3,,,"Ba(Pt,Au)4Ge12",,,,,,,,,,,,,6.25,,6.25,,,3680.0,,240.0,15.0,,,,,,1.13,
F-content x in LaO1-xFx)BiS2 = 0.37 by EPMA.,,,Nd1Bi1S2F0.7O0.63,,,,"Nd(O,F)BiS2",,,0.63,,,,,shape_03,,,5.24,,,,5.24,,,,,,,,,,,,,
Thermopower = -6.2uV/K at 30 C.,,,La1Tl2.25Sn0.75,,,,"La(Tl,Sn)3",,,,,,,,shape_01,,1.05,,,,,1.05,,,,,,,,,,,,,
"A15,Nb,sigma phases",,,Nb78Ga20Mn2,,,,"Nb78(Ga,Mn)22",,,,,,,,,,8.87,,,,,8.87,10.4,,,,,,1.7,,,,,,
,,,Y1Ba2Cu2.89Al0.11O7,,,,"YBa2(Cu,Al)3O7",,,,,,,,,,,82.0,,,,82.0,,,,,,,,,,,,,
,,,Pb2Sr2Dy1.48Ce2.74Cu3O16,,,,"(Pb2Cu)Sr2(Dy,Ce)5Cu2O16",,,,,,,,shape_05,,,,,,,,,,,11000000.0,,,,,,,,,
,,,V3Ga0.975Bi0.025,,,,,,,,,,,,,,14.7,,,,,14.7,,,,,,,,,,,,,
,,,Ho1Ni2B2C1,,,,HoNi2B2C,8.5,,,,,,,shape_01,,8.0,,,,,8.0,,,,,,,,,,,,,
,,,Ca1Zn5,,,,Ca1Zn5,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,
,,,Gd1Ba2Cu3O6.9,,,7.79,GdBa2Cu3O7,,,6.9,,,,,,,92.0,,,,,92.0,,,,,,,,,,,,,
,,,Eu1Ba2Cu2.9Co0.1O6.97,,,,"EuBa2(Cu,Co)3O7",,,6.97,,,,,,,72.7,,,,,72.7,,,,,,,,,,,,,
M=THF(tetrahydrofuran: C4H8O). c-axis oriented sample. isotope effect (N<14> - N<15>). NMR of N<15> measured.,,,Li0.48M0.3Hf1N1Cl1,,,,Li0.48M0.3HfNCl,,,,,,,,,,25.5,,,,,25.5,,,,,,,,,,,,,
,,,Bi1.7Pb0.3Sr2Ca0.65Y0.35Cu1.94Zn0.06O8,,,,"(Bi,Pb)2Sr2(Ca,Y)(Cu,Zn)2O8",,,,,,,,,,62.1,,,,,62.1,,,,,,,,,,,7.05,,
,,,Bi1In1,,,,Bi1In1,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,
,,,Mg0.99Pb0.01B2,,,,"(Mg,Pb)B2",,,,,,,,,35.9,,,,,,35.9,,,,,,,,,,,,,
,,,Ba0.511K0.489Fe1.772Co0.228As2,,,,"(Ba,K)(Fe,Co)2As2",,,,,,,,shape_03,,22.0,,,,,22.0,,,,,,,,,,,,,
"T(sub)=973 K, dep. rate = 54 nm/h, thickness = 108 nm,",,,Mo2N1,,,,beta-Mo2N,,,,,,,,shape_05,,5.2,,,,,5.2,,,,,,,,,,,,,
"RRR = 1.94. T<STR>=45.9K (cubic-Tetra). -(dHc2/dT) = 1.33, 1.42, 1.52, 1.57, 1.57, 1.54 T/K and Hc2(0) = 4.0, 5.1, 6.1, 8.9, 8.7, 8.5 T for P = 3.5, 6, 8.5, 12, 14, 15 GPa, respectively.",,,Mo3Sb7,,,,Mo3Sb7,,,,,,,,shape_03,,2.35,,,,,2.35,2.96,,79.6,,,,1.25,,,,,,
,,,Bi2Sr1.6Eu0.4Cu1O6+z,,,,"Bi2(Sr,Eu)2CuO6",,,,,,,,shape_03,,,,,16.0,,16.0,,,,,,,,,,,,,
,,,Dy1Ba1Sr1Cu3O6.4,,,,"Dy(Ba,Sr)2Cu3O7",,,6.4,,,,,,,,,10.0,,,,,,,180000.0,,,,,,,,,
,,,Y1Ba1.4Sr0.6Cu4O7.95,,,,"Y(Ba,Sr)2Cu4O8",,,7.95,,,,,shape_01,,,82.0,,,,82.0,,,,,,,,,,,,,
,,,H0.46Mo0.1Nb0.72Pd0.18,,,,"(H,Mo,Nb,Pd)",,,,,,,,,,4.82,,,,,4.82,,,,,,,,,,,,,
,,,Ir0.9Nb0.1,,,,Ir1-xNbx,,,,,,,,,,0.06,,,,,0.06,,,,,,,,,,,,,Info: Very Low Tc (<0.1K)
,,,Y1Ba2Cu3.88Ga0.12O8,,,,"YBa2(Cu,Ga)4 O8",,,,,,,,,65.0,,82.0,,,,73.5,,,,,,,,,,,,,
,,,B2Mg1,,,,MgB2,,,,,,,,shape_01,,38.5,,,,,38.5,,,,,,,,,,,,,
,,,Nb3Rh0.98Ir0.02,,,,"Nb3(Rh,Ir)",,,,,,,,shape_01,,2.43,,,,,2.43,,,,,,,,,,,,,
"Single phase HgSr2(Dy,Ce)Cu2O6(structure 1212,in which Hg-O bond is along<110>)",,,Hg1Sr2Dy0.667Ce0.333Cu2O6+z,,,,"HgSr2(Dy,Ce)Cu2O6",,,,,,,,shape_01,,,,4.2,,,,,,,,,,,,,,,,
Tc defined as intersect of M=0 and line with thehighest dM/dT,,,Y1Ba1.4Sr0.6Cu4O8,,,,"Y(Ba,Sr)2Cu4O8",,,,,,,,shape_01,,,,,81.2,,81.2,,,,,,,,,,,,,
"Fig. Show P=1,2,3 for a,b,c axis thermopower",,,Sr14Cu24O41,,,,"(Sr,Ca)14Cu24O41",,,,,,,,shape_03,,,,20.0,,,,,,,,,,,,,,,,
,,,La1.73Sr0.27Cu0.94Ti0.06O4,,,,"(La,Sr)2(Cu,Ti)O4",,,,,,,,shape_01,,,30.0,,,,30.0,,,,,,,,,,,,,
,,,Y1Ba2Cu0.88Co0.12O7-d,,,,"YBa2(Cu,Co)3O7",,,,,,,,shape_03,,,,,66.3,,66.3,,,,,,,,,,,,,
Curie-T from SUS.,,,Dy1Ga6,,,10.87,DyGa6,11.7,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,
,,,Bi4Sr3Ca3Cu3.8Mn0.2Oz,,,,"Bi4Sr3Ca3(Cu,Mn)4Oz",,,,,,,,,54.0,,,,72.0,,72.0,,,,5.62,,,,,,,,,
,,,Rh0.03Zr0.97,,,,Zr1-xRhx,,,,,,,,,,3.38,,,,,3.38,,,,,,,,,,,,,
,,,K2Mo6Se6,,,,K2Mo6Se6,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
"impurity phases: BiNi, Bi",,,Bi3Ni0.95Fe0.05,,,,Bi3Ni1-xFex,,,,,,,,shape_01,,,,,4.08,,4.08,,,,,,,,,,,,,
,,,Ir5La1,,,,Ir5La1,,,,,,,,,,2.13,,,,,2.13,,,,,,,,,,,,,
O2 pressure = 19.1GPa,,,Er1Sr2Cu3Oz,,,,ErSr2Cu3Oz,,,,,,,,,,60.0,,,60.0,,60.0,,,,,,,,,,,,,
,,,Er0.1Pr0.9Ba2Cu3O7,,,,"(Er,Pr)Ba2Cu3O7",15.0,,,,,,,shape_01,,,,,,,,,,,,,,,,,,,,
"De-oxygenation(700C,27H in vac 1.0E-2 Torr). 2223+2212(a=5.380,C=30,69A).Tc=87K by TP",,,Bi1.6Pb0.4Sr2Cu3Ca2O10.11,,,,"(Bi,Pb)2Sr2Ca2Cu3O10",,,10.11,,,,,shape_02,84.0,,,,,,84.0,,,,,,,,,,,,,
structure is trigonal,,,Ba1Si2,,,,BaSi2,,,,,,,,,,5.3,,,,,5.3,,,,,,,,,,,,,
"(1/T)-term in SP-heat, a =  5.077  E-4 cal/mol.K",,506.0,Fe0.45Co0.45Al0.1,,,,Fe-Co-Al,,,,,,,,,,,,1.5,,,,,1.01,,,,,,,,,,,
R shows SC-like drop.,,,Sr1Si1.4Ni0.6,,,,"Sr(Si,Ni)2",,,,,,,,shape_01,,,,1.72,,,,,3.14,,400.0,,,,,,,,,
,,,Pr0.102Th0.898,,,,Th1-xPrx,,,,,,,,,,0.95,,,,,0.95,,,,,,,,,,,,,
,,,Pd1Te2,,,,,,,,,,,,,,1.69,,,,,1.69,,,,,,,,,,,,,
"[gap], [penet] are from muon-SR analysis. Two gaps:  large gap in DB, small one = 3.2 meV, (2d/kTc) = 2.0",,,Ba0.7Rb0.3Fe2As2,5.8,,,"(Ba,Rb)Fe2As2",,,,,,,,shape_01,,36.9,,,,,36.9,,,,,249.0,,,,,,,9.2,
,,,La1Si5,,,,alpha-LaSi5,,,,,,,,,10.7,,11.7,,11.4,,11.4,,,,,,,,,,,,,
apical site = Cl.,,,Ca1.85Na0.15Cu1Cl2O2,,,,"(Ca,Na)2CuO2Cl2",,,,,,,,shape_01,,25.0,,,,,25.0,,,,,,,,,,,,,
,,,Y1Ba2Cu2.9Ni0.1OX,,,,"YBa2(Cu,Ni)3O7",,,,,,,,shape_01,,82.9,,,,,82.9,,,,,,,,,,,,,
"neutron irradiated sample(fluence=1 E+19 n/cm2), then ANN(400C,24h). (dlnTc/dP) = -0.038 /GPa",,,B2Mg1,,,,MgB2,,,,,,,,,,30.4,,,,,30.4,,,,,,,,-1.15,,,,,
,,,Y1Ba2Cu3O7,,,0.0,Y Ba2 Cu3 O7,,,,,,,,,,,,,92.0,,92.0,,,,,,,,,5.78,,,,
"nominal/ Sr:V:Fe(III)-oxide:As-oxide = 20:11:5:5.  SIN(1323 K, 60h)",,,Sr2V1Fe1As1O3,,,,Sr2VO3FeAs,,,,,,,,,,,33.0,,,,33.0,,,,,,,,,,,,,
e/a ratio = 5.0,,,V2Ir1B2,,,,V2IrB2,,,,,,,,,,1.12,,,,,1.12,,,,,,,,,,,,,
,,,Bi2Sr1.6La0.4Cu1O6.26,,,,"Bi2(Sr,La)2CuO6",,,6.26,,,,,,,14.3,,,,,14.3,,,,,,,,,,,,,
,,,Y1Sr2Cu2.7W0.3O6.9,,,,"YSr2(Cu,W)3O7",,,6.9,,,,,shape_01,24.0,,,,,,24.0,,,,,,,,,,,,,
,,,Pb1S3Ti1,,,,Pb1S3Ti1,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,
OZ=3.99-3.              97,,,Gd1.85Ce0.15Cu1O3.99,,,,"(Gd,Ce)2CuO4",,,3.99,,,,,,,,,4.2,,,,,,,,,,,,,,,,
,,,Nd1.7945Y0.0555Ce0.15Cu1O4,,,,"(Nd,Y,Ce)2CuO4",,,,,,,,shape_01,,,,,19.0,,19.0,,,,,,,,,,,,,
O-content from iodometric method,,,Gd0.96Ca0.04Ba1Sr1Cu3O6.9138,,,,"(Gd,Ca)BaSrCu3Oz",,,6.9138,,,,,shape_01,65.0,,77.0,,,,71.0,,,,,,,,,,,,,
,,,Lu1Se1,,,,Lu1Se1,,,,,,,,,,0.56,,,,,0.56,,,,,,,,,,,,,
,,,Nb3Rh0.5Au0.5,,,,,,,,,,,,,,6.6,,,,,6.6,,,,,,,,,,,,,
magnetic orderring T measured by Mossbauer and bulk SUS. Tm = 0.325 K,,,Eu0.0034La0.9966,,,,La1-xEux,,,,,,,,,,3.95,,,,,3.95,,,,,,,,,,,,,
OZ shows 'largest possible' O-content calculated from Cu-valence (=2.26),,,Mo0.25Sr2Ce0.9Y1.1Cu2.75O9+z,,,,"(Cu,Mo)Sr2(Ce,Y)2Cu2O7",,,,,,,,shape_01,,,,,61.0,,61.0,,,,,,,,,,,,,
,,,La1.7Nd0.15Ca0.056Ba0.094Cu1O4,,,,"(La,Nd,Ca,Ba)2CuO4",,,,,,,,,,16.0,,,,,16.0,,,,,,,,,,,,,
